model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
ConvRecSNN,conv_snn,0.0,274,1,0.001879422863405995,train,1.9641906852722169,1.9641906852722169,0.0,0.452,0.813,11.9766427192688,0.06500337365269661,7001.6435,1350703.347
ConvRecSNN,conv_snn,0.0,274,1,0.001879422863405995,val,0.9958482170104981,0.9958482170104981,0.0,0.85375,1.0,1.6389392662048339,0.056391104310750964,6073.99875,1172115.285
ConvRecSNN,conv_snn,0.0,274,2,0.0015500000000000002,train,1.0826402187347413,1.0826402187347413,0.0,0.77875,0.99175,2.4787006530761717,0.05497835740447044,5921.829,1143537.908
ConvRecSNN,conv_snn,0.0,274,2,0.0015500000000000002,val,0.7529364204406739,0.7529364204406739,0.0,0.90125,1.0,1.7766645288467406,0.05150197863578796,5547.38125,1070944.71
ConvRecSNN,conv_snn,0.0,274,3,0.0011,train,0.9519721431732178,0.9519721431732178,0.0,0.83275,0.99275,2.5088444786071777,0.05376645943522453,5791.293,1117639.904
ConvRecSNN,conv_snn,0.0,274,3,0.0011,val,0.6704415464401245,0.6704415464401245,0.0,0.9375,1.0,1.584361391067505,0.05394799172878265,5810.84625,1121705.67
ConvRecSNN,conv_snn,0.0,274,4,0.0006500000000000003,train,0.8069854555130005,0.8069854555130005,0.0,0.8925,0.99525,2.148758973121643,0.055195673406124114,5945.2365,1147131.967
ConvRecSNN,conv_snn,0.0,274,4,0.0006500000000000003,val,0.5220643138885498,0.5220643138885498,0.0,0.98875,1.0,1.3608074569702149,0.054003057926893236,5816.7775,1122997.21
ConvRecSNN,conv_snn,0.0,274,5,0.0003205771365940052,train,0.6983825302124024,0.6983825302124024,0.0,0.94025,0.9955,1.997910945892334,0.05718761014938355,6159.792,1189541.248
ConvRecSNN,conv_snn,0.0,274,5,0.0003205771365940052,val,0.49358749985694883,0.49358749985694883,0.0,0.9975,1.0,1.3508016300201415,0.055819231569767,6012.40125,1161621.255
ConvRecSNN,conv_snn,0.0,274,6,0.0002,train,0.6564912195205689,0.6564912195205689,0.0,0.95275,0.9965,1.9969136791229247,0.058969572544097903,6351.73075,1227260.262
ConvRecSNN,conv_snn,0.0,274,6,0.0002,val,0.4803487277030945,0.4803487277030945,0.0,0.9975,1.0,1.4530767059326173,0.057836358696222306,6229.67,1204360.29
ConvRecSNN,conv_snn,0.03,274,1,0.001879422863405995,train,2.0343253660202025,2.0323702640533448,0.0019550966136157514,0.4195,0.803,12.831171501159668,0.06516988888382912,7019.57925,1353043.021
ConvRecSNN,conv_snn,0.03,274,1,0.001879422863405995,val,1.0733379316329956,1.0715731143951417,0.0017648192960768938,0.80625,1.0,1.9659850978851319,0.0588273112475872,6336.4075,1222182.45
ConvRecSNN,conv_snn,0.03,274,2,0.0015500000000000002,train,1.114403618812561,1.112688895225525,0.0017147253006696702,0.763,0.99225,2.5581730937957765,0.05715751123428345,6156.55,1187841.954
ConvRecSNN,conv_snn,0.03,274,2,0.0015500000000000002,val,0.7192507243156433,0.7175567197799683,0.0016940068732947111,0.94125,1.0,1.6087156629562378,0.056466896831989286,6082.1625,1173796.515
ConvRecSNN,conv_snn,0.03,274,3,0.0011,train,0.9236283416748047,0.9219109621047974,0.001717382661998272,0.851,0.99425,2.466370099067688,0.05724608996510506,6166.091,1189412.64
ConvRecSNN,conv_snn,0.03,274,3,0.0011,val,0.6227587890625,0.6211253762245178,0.0016334234410896897,0.9525,1.0,1.4441533946990968,0.05444744914770126,5864.64375,1130701.975
ConvRecSNN,conv_snn,0.03,274,4,0.0006500000000000003,train,0.7764737629890441,0.7746754627227783,0.00179830177500844,0.90725,0.99575,2.0989841871261596,0.05994339406490326,6456.623,1245740.855
ConvRecSNN,conv_snn,0.03,274,4,0.0006500000000000003,val,0.5315686655044556,0.5298138999938965,0.0017547674849629402,0.99125,1.0,1.2517119884490966,0.05849225103855133,6300.3175,1215256.675
ConvRecSNN,conv_snn,0.03,274,5,0.0003205771365940052,train,0.7001483025550842,0.6982853765487671,0.0018629289092496038,0.93625,0.9955,1.9817679195404052,0.062097631633281705,6688.66025,1290896.037
ConvRecSNN,conv_snn,0.03,274,5,0.0003205771365940052,val,0.4990408444404602,0.49719762563705444,0.0018432127078995108,0.995,1.0,1.3836023712158203,0.06144042506814003,6617.87125,1277744.87
ConvRecSNN,conv_snn,0.03,274,6,0.0002,train,0.6530760593414306,0.6511131143569946,0.0019629456158727406,0.9525,0.996,2.030283086776733,0.06543152213096619,7047.76025,1361016.001
ConvRecSNN,conv_snn,0.03,274,6,0.0002,val,0.4872884523868561,0.4853483128547669,0.001940141338855028,0.9975,1.0,1.4354208946228026,0.06467137932777405,6965.88375,1345073.57
ConvRecSNN,conv_snn,0.1,274,1,0.001879422863405995,train,2.0171705503463744,2.010908899307251,0.006261655569076538,0.434,0.7975,11.576558349609375,0.06261655473709106,6744.5545,1300181.31
ConvRecSNN,conv_snn,0.1,274,1,0.001879422863405995,val,1.033866400718689,1.0282870817184449,0.005579321477562189,0.87625,1.0,1.4919330644607545,0.055793213546276095,6009.59875,1159045.905
ConvRecSNN,conv_snn,0.1,274,2,0.0015500000000000002,train,1.130561613559723,1.1248720636367797,0.005689551025629043,0.75975,0.98675,2.6146383075714112,0.05689550930261612,6128.32925,1182440.129
ConvRecSNN,conv_snn,0.1,274,2,0.0015500000000000002,val,0.737978401184082,0.7324823832511902,0.005496014822274447,0.925,1.0,1.3965334129333495,0.05496014699339866,5919.8675,1143150.99
ConvRecSNN,conv_snn,0.1,274,3,0.0011,train,0.891335223197937,0.8855585594177247,0.005776665486395359,0.8675,0.995,2.292688587188721,0.05776665398478508,6222.162,1200896.584
ConvRecSNN,conv_snn,0.1,274,3,0.0011,val,0.5793906426429749,0.573804898262024,0.0055857471562922,0.97625,1.0,1.2853681087493896,0.055857470631599425,6016.52,1161870.88
ConvRecSNN,conv_snn,0.1,274,4,0.0006500000000000003,train,0.7722631416320801,0.7664018201828003,0.0058613232299685476,0.8975,0.99275,2.2800224208831787,0.058613231122493746,6313.3485,1219050.897
